window_start,Site,Chemical,Concentration
1988-01-01,MPR,k_mean,NA
1988-01-01,MPR,mg_mean,NA
1988-01-01,MPR,ca_mean,NA
1988-01-01,MPR,nh4_mean,NA
1988-01-01,MPR,no3_mean,NA
1988-03-04,MPR,k_mean,NA
1988-03-04,MPR,mg_mean,NA
1988-03-04,MPR,ca_mean,NA
1988-03-04,MPR,nh4_mean,NA
1988-03-04,MPR,no3_mean,NA
1988-05-06,MPR,k_mean,NA
1988-05-06,MPR,mg_mean,NA
1988-05-06,MPR,ca_mean,NA
1988-05-06,MPR,nh4_mean,NA
1988-05-06,MPR,no3_mean,NA
1988-07-08,MPR,k_mean,NA
1988-07-08,MPR,mg_mean,NA
1988-07-08,MPR,ca_mean,NA
1988-07-08,MPR,nh4_mean,NA
1988-07-08,MPR,no3_mean,NA
1988-09-09,MPR,k_mean,NA
1988-09-09,MPR,mg_mean,NA
1988-09-09,MPR,ca_mean,NA
1988-09-09,MPR,nh4_mean,NA
1988-09-09,MPR,no3_mean,NA
1988-11-11,MPR,k_mean,NA
1988-11-11,MPR,mg_mean,NA
1988-11-11,MPR,ca_mean,NA
1988-11-11,MPR,nh4_mean,NA
1988-11-11,MPR,no3_mean,NA
1989-01-13,MPR,k_mean,NA
1989-01-13,MPR,mg_mean,NA
1989-01-13,MPR,ca_mean,NA
1989-01-13,MPR,nh4_mean,NA
1989-01-13,MPR,no3_mean,NA
1989-03-17,MPR,k_mean,0.77
1989-03-17,MPR,mg_mean,1.92
1989-03-17,MPR,ca_mean,6.15
1989-03-17,MPR,nh4_mean,NA
1989-03-17,MPR,no3_mean,69
1989-05-19,MPR,k_mean,0.675
1989-05-19,MPR,mg_mean,1.965
1989-05-19,MPR,ca_mean,6.525
1989-05-19,MPR,nh4_mean,NA
1989-05-19,MPR,no3_mean,58.285714285714285
1989-07-21,MPR,k_mean,0.6614285714285714
1989-07-21,MPR,mg_mean,1.5783333333333334
1989-07-21,MPR,ca_mean,6.252857142857143
1989-07-21,MPR,nh4_mean,NA
1989-07-21,MPR,no3_mean,73.71428571428571
1989-09-22,MPR,k_mean,1.21
1989-09-22,MPR,mg_mean,2.194
1989-09-22,MPR,ca_mean,6.906
1989-09-22,MPR,nh4_mean,NA
1989-09-22,MPR,no3_mean,263.5
1989-11-24,MPR,k_mean,0.9
1989-11-24,MPR,mg_mean,2.5187500000000003
1989-11-24,MPR,ca_mean,9.15375
1989-11-24,MPR,nh4_mean,NA
1989-11-24,MPR,no3_mean,85.85714285714286
1990-01-26,MPR,k_mean,1.0855555555555556
1990-01-26,MPR,mg_mean,2.048888888888889
1990-01-26,MPR,ca_mean,8.305
1990-01-26,MPR,nh4_mean,NA
1990-01-26,MPR,no3_mean,243.88888888888889
1990-03-30,MPR,k_mean,0.9944444444444445
1990-03-30,MPR,mg_mean,2.207777777777778
1990-03-30,MPR,ca_mean,9.503333333333334
1990-03-30,MPR,nh4_mean,NA
1990-03-30,MPR,no3_mean,130.11111111111111
1990-06-01,MPR,k_mean,0.9299999999999999
1990-06-01,MPR,mg_mean,2.0355555555555553
1990-06-01,MPR,ca_mean,8.523333333333333
1990-06-01,MPR,nh4_mean,NA
1990-06-01,MPR,no3_mean,175.66666666666666
1990-08-03,MPR,k_mean,0.8422222222222222
1990-08-03,MPR,mg_mean,2.1055555555555556
1990-08-03,MPR,ca_mean,9.421111111111111
1990-08-03,MPR,nh4_mean,NA
1990-08-03,MPR,no3_mean,128.88888888888889
1990-10-05,MPR,k_mean,0.7633333333333333
1990-10-05,MPR,mg_mean,1.7955555555555556
1990-10-05,MPR,ca_mean,6.92
1990-10-05,MPR,nh4_mean,NA
1990-10-05,MPR,no3_mean,142.125
1990-12-07,MPR,k_mean,0.6488888888888888
1990-12-07,MPR,mg_mean,2.25
1990-12-07,MPR,ca_mean,7.6322222222222225
1990-12-07,MPR,nh4_mean,NA
1990-12-07,MPR,no3_mean,139
1991-02-08,MPR,k_mean,0.92125
1991-02-08,MPR,mg_mean,1.9975
1991-02-08,MPR,ca_mean,7.551428571428572
1991-02-08,MPR,nh4_mean,NA
1991-02-08,MPR,no3_mean,105.57142857142857
1991-04-12,MPR,k_mean,0.77
1991-04-12,MPR,mg_mean,0.86875
1991-04-12,MPR,ca_mean,4.635
1991-04-12,MPR,nh4_mean,NA
1991-04-12,MPR,no3_mean,52.22222222222222
1991-06-14,MPR,k_mean,0.77375
1991-06-14,MPR,mg_mean,1.96875
1991-06-14,MPR,ca_mean,6.26
1991-06-14,MPR,nh4_mean,NA
1991-06-14,MPR,no3_mean,57.125
1991-08-16,MPR,k_mean,0.8388888888888889
1991-08-16,MPR,mg_mean,2.4766666666666666
1991-08-16,MPR,ca_mean,8.877777777777778
1991-08-16,MPR,nh4_mean,NA
1991-08-16,MPR,no3_mean,106
1991-10-18,MPR,k_mean,0.655
1991-10-18,MPR,mg_mean,1.77375
1991-10-18,MPR,ca_mean,5.67
1991-10-18,MPR,nh4_mean,NA
1991-10-18,MPR,no3_mean,101.44444444444444
1991-12-20,MPR,k_mean,0.8244444444444444
1991-12-20,MPR,mg_mean,2.183333333333333
1991-12-20,MPR,ca_mean,9.377777777777778
1991-12-20,MPR,nh4_mean,NA
1991-12-20,MPR,no3_mean,117.77777777777777
1992-02-21,MPR,k_mean,0.9188888888888889
1992-02-21,MPR,mg_mean,2.7511111111111113
1992-02-21,MPR,ca_mean,9.365
1992-02-21,MPR,nh4_mean,NA
1992-02-21,MPR,no3_mean,107.375
1992-04-24,MPR,k_mean,0.8366666666666667
1992-04-24,MPR,mg_mean,1.7522222222222221
1992-04-24,MPR,ca_mean,7.101111111111111
1992-04-24,MPR,nh4_mean,NA
1992-04-24,MPR,no3_mean,54.625
1992-06-26,MPR,k_mean,0.7933333333333333
1992-06-26,MPR,mg_mean,2.1577777777777776
1992-06-26,MPR,ca_mean,8.5
1992-06-26,MPR,nh4_mean,NA
1992-06-26,MPR,no3_mean,43.666666666666664
1992-08-28,MPR,k_mean,0.9
1992-08-28,MPR,mg_mean,2.4855555555555555
1992-08-28,MPR,ca_mean,10.154444444444444
1992-08-28,MPR,nh4_mean,NA
1992-08-28,MPR,no3_mean,46.44444444444444
1992-10-30,MPR,k_mean,0.62
1992-10-30,MPR,mg_mean,1.5975
1992-10-30,MPR,ca_mean,6.53125
1992-10-30,MPR,nh4_mean,NA
1992-10-30,MPR,no3_mean,35.166666666666664
1993-01-01,MPR,k_mean,0.7222222222222222
1993-01-01,MPR,mg_mean,1.981111111111111
1993-01-01,MPR,ca_mean,7.802222222222222
1993-01-01,MPR,nh4_mean,NA
1993-01-01,MPR,no3_mean,78
1993-03-05,MPR,k_mean,0.8533333333333334
1993-03-05,MPR,mg_mean,2.3055555555555554
1993-03-05,MPR,ca_mean,9.028888888888888
1993-03-05,MPR,nh4_mean,NA
1993-03-05,MPR,no3_mean,80.22222222222223
1993-05-07,MPR,k_mean,0.8077777777777778
1993-05-07,MPR,mg_mean,2.051111111111111
1993-05-07,MPR,ca_mean,8.234444444444444
1993-05-07,MPR,nh4_mean,NA
1993-05-07,MPR,no3_mean,55.333333333333336
1993-07-09,MPR,k_mean,0.8075
1993-07-09,MPR,mg_mean,1.97375
1993-07-09,MPR,ca_mean,8.455
1993-07-09,MPR,nh4_mean,NA
1993-07-09,MPR,no3_mean,50.75
1993-09-10,MPR,k_mean,0.6866666666666666
1993-09-10,MPR,mg_mean,1.9444444444444444
1993-09-10,MPR,ca_mean,7.8822222222222225
1993-09-10,MPR,nh4_mean,NA
1993-09-10,MPR,no3_mean,38.888888888888886
1993-11-12,MPR,k_mean,0.5988888888888889
1993-11-12,MPR,mg_mean,1.5222222222222221
1993-11-12,MPR,ca_mean,6.6
1993-11-12,MPR,nh4_mean,NA
1993-11-12,MPR,no3_mean,33.2
1994-01-14,MPR,k_mean,0.6366666666666667
1994-01-14,MPR,mg_mean,1.8822222222222222
1994-01-14,MPR,ca_mean,8
1994-01-14,MPR,nh4_mean,NA
1994-01-14,MPR,no3_mean,6.333333333333333
1994-03-18,MPR,k_mean,0.7588888888888888
1994-03-18,MPR,mg_mean,2.1155555555555554
1994-03-18,MPR,ca_mean,9.256666666666666
1994-03-18,MPR,nh4_mean,NA
1994-03-18,MPR,no3_mean,18.4
1994-05-20,MPR,k_mean,0.8277777777777777
1994-05-20,MPR,mg_mean,2.3544444444444443
1994-05-20,MPR,ca_mean,8.94111111111111
1994-05-20,MPR,nh4_mean,NA
1994-05-20,MPR,no3_mean,24.75
1994-07-22,MPR,k_mean,0.8722222222222222
1994-07-22,MPR,mg_mean,2.428888888888889
1994-07-22,MPR,ca_mean,9.212222222222222
1994-07-22,MPR,nh4_mean,NA
1994-07-22,MPR,no3_mean,179
1994-09-23,MPR,k_mean,0.7644444444444445
1994-09-23,MPR,mg_mean,1.93
1994-09-23,MPR,ca_mean,8.956666666666667
1994-09-23,MPR,nh4_mean,NA
1994-09-23,MPR,no3_mean,NA
1994-11-25,MPR,k_mean,0.7111111111111111
1994-11-25,MPR,mg_mean,2.256666666666667
1994-11-25,MPR,ca_mean,8.879999999999999
1994-11-25,MPR,nh4_mean,NA
1994-11-25,MPR,no3_mean,43
1988-01-01,Q1,k_mean,0.8066666666666666
1988-01-01,Q1,mg_mean,2.1926666666666668
1988-01-01,Q1,ca_mean,3.42
1988-01-01,Q1,nh4_mean,27.533333333333335
1988-01-01,Q1,no3_mean,155.06666666666666
1988-03-04,Q1,k_mean,0.89
1988-03-04,Q1,mg_mean,1.976875
1988-03-04,Q1,ca_mean,3.084375
1988-03-04,Q1,nh4_mean,22.125
1988-03-04,Q1,no3_mean,207.8125
1988-05-06,Q1,k_mean,0.8811111111111111
1988-05-06,Q1,mg_mean,2.183
1988-05-06,Q1,ca_mean,2.985
1988-05-06,Q1,nh4_mean,90.625
1988-05-06,Q1,no3_mean,157.5
1988-07-08,Q1,k_mean,0.7607692307692308
1988-07-08,Q1,mg_mean,1.9523076923076923
1988-07-08,Q1,ca_mean,2.686923076923077
1988-07-08,Q1,nh4_mean,15.5
1988-07-08,Q1,no3_mean,63
1988-09-09,Q1,k_mean,0.7925
1988-09-09,Q1,mg_mean,2.43875
1988-09-09,Q1,ca_mean,3.665
1988-09-09,Q1,nh4_mean,50.25
1988-09-09,Q1,no3_mean,140.55555555555554
1988-11-11,Q1,k_mean,0.8444444444444444
1988-11-11,Q1,mg_mean,2.3722222222222222
1988-11-11,Q1,ca_mean,4.15125
1988-11-11,Q1,nh4_mean,NA
1988-11-11,Q1,no3_mean,153.625
1989-01-13,Q1,k_mean,0.9088888888888889
1989-01-13,Q1,mg_mean,2.783333333333333
1989-01-13,Q1,ca_mean,4.293333333333333
1989-01-13,Q1,nh4_mean,NA
1989-01-13,Q1,no3_mean,130.11111111111111
1989-03-17,Q1,k_mean,0.8544444444444445
1989-03-17,Q1,mg_mean,2.738888888888889
1989-03-17,Q1,ca_mean,4.444444444444445
1989-03-17,Q1,nh4_mean,NA
1989-03-17,Q1,no3_mean,141.88888888888889
1989-05-19,Q1,k_mean,0.9477777777777777
1989-05-19,Q1,mg_mean,2.901111111111111
1989-05-19,Q1,ca_mean,4.5344444444444445
1989-05-19,Q1,nh4_mean,NA
1989-05-19,Q1,no3_mean,123
1989-07-21,Q1,k_mean,0.9275
1989-07-21,Q1,mg_mean,2.6675
1989-07-21,Q1,ca_mean,4.0625
1989-07-21,Q1,nh4_mean,NA
1989-07-21,Q1,no3_mean,99.57142857142857
1989-09-22,Q1,k_mean,1.2953846153846154
1989-09-22,Q1,mg_mean,2.970833333333333
1989-09-22,Q1,ca_mean,4.2
1989-09-22,Q1,nh4_mean,NA
1989-09-22,Q1,no3_mean,365
1989-11-24,Q1,k_mean,1.1466666666666667
1989-11-24,Q1,mg_mean,3.2266666666666666
1989-11-24,Q1,ca_mean,5.8566666666666665
1989-11-24,Q1,nh4_mean,NA
1989-11-24,Q1,no3_mean,99
1990-01-26,Q1,k_mean,1.2344444444444445
1990-01-26,Q1,mg_mean,3.1666666666666665
1990-01-26,Q1,ca_mean,5.546666666666667
1990-01-26,Q1,nh4_mean,NA
1990-01-26,Q1,no3_mean,211.375
1990-03-30,Q1,k_mean,1.3628571428571428
